,date,price,bubble_size,bubble_color,from_address,to_address,punk_id,img_url,punk_skin_tone
5621,2022-06-20,77.0,2,#f6773d,\x0232d1083e970f0c78f56202b9a666b526fa379f,\x08b571c651b185cffae8d4c75d504232e9167edc,8178,https://www.larvalabs.com/cryptopunks/cryptopunk8178.png,Light
5622,2022-07-13,85.0,2,#f6773d,\x08b571c651b185cffae8d4c75d504232e9167edc,\x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,8178,https://www.larvalabs.com/cryptopunks/cryptopunk8178.png,Light
5624,2021-09-16,135.0,3,#f6773d,\x6639c089adfba8bb9968da643c6be208a70d6daa,\x0e9aed5c7721c642a032812c2c4816f7d6cb87d7,9478,https://www.larvalabs.com/cryptopunks/cryptopunk9478.png,Light
5625,2021-10-01,164.99,3,#f6773d,\x0e9aed5c7721c642a032812c2c4816f7d6cb87d7,\x0ebc2cbdbe88604677b6c783c3e2306cca5bf304,9478,https://www.larvalabs.com/cryptopunks/cryptopunk9478.png,Light
5629,2022-06-13,47.0,3,#933e18,\x4bbb41f61fffc1bbe65a2aa192c65281e16ea758,\xfd845e07717b0329d3f19fc920c97fba0bc4ee31,8536,https://www.larvalabs.com/cryptopunks/cryptopunk8536.png,Dark
5633,2022-03-31,71.0,3,#dc5d24,\xe83c750b2708320bb134796c555b80df39a3d97b,\x505d79c7379ee65b6c2d6d18a0e7ab901b00756c,5570,https://www.larvalabs.com/cryptopunks/cryptopunk5570.png,Medium
5640,2021-02-21,22.5,3,#f9a47e,\x3128f5e622781af0757b8085bc1ae694519a9340,\x5fd36a4a4bcfe5ea059706a6a09c26b62be4059a,8069,https://www.larvalabs.com/cryptopunks/cryptopunk8069.png,Albino
5641,2021-02-23,25.45,3,#f9a47e,\x5fd36a4a4bcfe5ea059706a6a09c26b62be4059a,\xd5b3516727e5c0d0cb83304b675b0db5de960f3e,8069,https://www.larvalabs.com/cryptopunks/cryptopunk8069.png,Albino
5648,2021-02-16,9.99,3,#dc5d24,\x01c2e7b1de06da53bd0ec82fdb59e5767b8c6da1,\xbd19b1833c7a474b3cf4d7f583c89bd18f76606d,6536,https://www.larvalabs.com/cryptopunks/cryptopunk6536.png,Medium
5651,2021-01-25,4.25,3,#933e18,\x5eb67a3b141f3036899ee77822a41277166c540e,\x82b1f29c5608238df2618f996827933c0d844079,5392,https://www.larvalabs.com/cryptopunks/cryptopunk5392.png,Dark
5652,2021-02-17,8.99,3,#933e18,\x82b1f29c5608238df2618f996827933c0d844079,\x48d1f7e41070fc0bb0e36925a68db1350088c54e,5392,https://www.larvalabs.com/cryptopunks/cryptopunk5392.png,Dark
5653,2021-03-03,23.88,3,#933e18,\x13816f65ba8195768e6825eb774fd3c6a05a0ac8,\xcfd9ccafc35b86299fc5617f66e89c0782bacfe0,5392,https://www.larvalabs.com/cryptopunks/cryptopunk5392.png,Dark
5654,2021-12-08,73.4,3,#933e18,\x762ec7ca4658e76002447b0a29e1f44f575dbebc,\xcb8da26bb0edec467a57f38caab9c8f483a2e9c2,5392,https://www.larvalabs.com/cryptopunks/cryptopunk5392.png,Dark
5657,2021-07-04,18.5,3,#f9a47e,\xf40b3d16ae26262db9b19e0ec80d8a490c40bdcb,\x4affe16d35143db85027c05d97f56ebdc668347e,7375,https://www.larvalabs.com/cryptopunks/cryptopunk7375.png,Albino
5658,2021-07-25,22.97,3,#f9a47e,\x4affe16d35143db85027c05d97f56ebdc668347e,\x7f9b8c7bd797503af08e48ac52e19b0cd5ae9ac4,7375,https://www.larvalabs.com/cryptopunks/cryptopunk7375.png,Albino
5662,2021-10-23,108.99,3,#933e18,\xcc2a855946a3c20683858fe6ee15acf8b836f0b3,\xe7b3d473411dd530d7889805e148b738f2236e6d,8911,https://www.larvalabs.com/cryptopunks/cryptopunk8911.png,Dark
5667,2021-01-22,4.17,3,#f9a47e,\x0a4eafeb533d4111a1fe3a8b323c468976ac2323,\x1e815a8188f1b84564577c1c998f7e6b4706b752,6585,https://www.larvalabs.com/cryptopunks/cryptopunk6585.png,Albino
5668,2021-07-03,21.0,3,#f9a47e,\x1e815a8188f1b84564577c1c998f7e6b4706b752,\xb4079f1e529309eff78f634cb1a82397547e9d30,6585,https://www.larvalabs.com/cryptopunks/cryptopunk6585.png,Albino
5669,2021-11-14,96.99,3,#f9a47e,\xb4079f1e529309eff78f634cb1a82397547e9d30,\x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,6585,https://www.larvalabs.com/cryptopunks/cryptopunk6585.png,Albino
5670,2021-11-15,109.95,3,#f9a47e,\x6639c089adfba8bb9968da643c6be208a70d6daa,\xf6b185daff852b6af7d83a10a671f9010a7cdc28,6585,https://www.larvalabs.com/cryptopunks/cryptopunk6585.png,Albino
5671,2022-01-24,72.0,3,#f9a47e,\xd21ff46d31e0184934ab9963020745005d0bc80b,\x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,6585,https://www.larvalabs.com/cryptopunks/cryptopunk6585.png,Albino
