punk_id,type,gender,skin_tone,attr_count,attributes,img_dir,avg_price,img_url
97,Human,Male,Medium,1,['Wild Hair'],../punk_imgs/97.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk97.png
98,Human,Female,Light,3,"['Black Lipstick', 'Welding Goggles', 'Dark Hair']",../punk_imgs/98.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk98.png
99,Human,Male,Medium,2,"['Cigarette', 'Hoodie']",../punk_imgs/99.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk99.png
100,Human,Female,Medium,1,['Tassle Hat'],../punk_imgs/100.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk100.png
101,Human,Male,Medium,2,"['Police Cap', 'Nerd Glasses']",../punk_imgs/101.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk101.png
102,Human,Male,Medium,2,"['Vampire Hair', 'Luxurious Beard']",../punk_imgs/102.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk102.png
103,Human,Female,Dark,3,"['Black Lipstick', 'Green Eye Shadow', 'Blonde Bob']",../punk_imgs/103.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk103.png
104,Human,Male,Dark,4,"['Normal Beard Black', 'Earring', 'Crazy Hair', 'Eye Patch']",../punk_imgs/104.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk104.png
105,Human,Male,Light,1,['Mohawk Thin'],../punk_imgs/105.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk105.png
106,Human,Female,Light,1,['Straight Hair Blonde'],../punk_imgs/106.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk106.png
107,Human,Male,Medium,1,['Headband'],../punk_imgs/107.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk107.png
108,Human,Female,Light,2,"['Black Lipstick', 'Headband']",../punk_imgs/108.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk108.png
109,Human,Male,Dark,3,"['Handlebars', 'Fedora', 'Earring']",../punk_imgs/109.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk109.png
110,Human,Female,Dark,4,"['Purple Lipstick', 'Earring', 'Mohawk Dark', 'Cigarette']",../punk_imgs/110.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk110.png
111,Human,Male,Dark,2,"['Handlebars', 'Knitted Cap']",../punk_imgs/111.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk111.png
112,Human,Male,Medium,4,"['Bandana', 'Earring', 'Horned Rim Glasses', 'Big Beard']",../punk_imgs/112.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk112.png
113,Human,Male,Albino,1,['Mohawk'],../punk_imgs/113.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk113.png
114,Human,Female,Dark,1,['Red Mohawk'],../punk_imgs/114.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk114.png
115,Human,Female,Dark,2,"['Half Shaved', 'Earring']",../punk_imgs/115.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk115.png
116,Human,Female,Dark,4,"['Black Lipstick', 'Tiara', 'Earring', 'Clown Eyes Blue']",../punk_imgs/116.png,1.7999999999999998,https://www.larvalabs.com/cryptopunks/cryptopunk116.png
117,Zombie,Male,,2,"['Messy Hair', 'Front Beard Dark']",../punk_imgs/117.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk117.png
118,Human,Female,Light,2,"['Black Lipstick', 'Bandana']",../punk_imgs/118.png,20.35,https://www.larvalabs.com/cryptopunks/cryptopunk118.png
119,Human,Male,Medium,2,"['Cap', 'Earring']",../punk_imgs/119.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk119.png
120,Human,Female,Medium,2,"['Tassle Hat', 'Big Shades']",../punk_imgs/120.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk120.png
121,Human,Female,Light,2,"['Tiara', 'Purple Lipstick']",../punk_imgs/121.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk121.png
122,Human,Male,Light,2,"['Cigarette', 'Mohawk']",../punk_imgs/122.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk122.png
123,Human,Female,Medium,2,"['Wild White Hair', 'Spots']",../punk_imgs/123.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk123.png
124,Human,Male,Medium,3,"['Normal Beard Black', 'Peak Spike', 'Earring']",../punk_imgs/124.png,17.3,https://www.larvalabs.com/cryptopunks/cryptopunk124.png
125,Human,Female,Light,3,"['Tassle Hat', 'Big Shades', 'Purple Lipstick']",../punk_imgs/125.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk125.png
126,Human,Male,Albino,4,"['Cigarette', 'Earring', 'Headband', 'Eye Patch']",../punk_imgs/126.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk126.png
127,Human,Female,Medium,2,"['Clown Eyes Green', 'Stringy Hair']",../punk_imgs/127.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk127.png
128,Human,Male,Light,4,"['Police Cap', 'Chinstrap', 'Vape', 'Mole']",../punk_imgs/128.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk128.png
129,Human,Male,Light,4,"['Cigarette', 'Cap Forward', 'Gold Chain', 'Horned Rim Glasses']",../punk_imgs/129.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk129.png
130,Human,Male,Light,1,['Mohawk'],../punk_imgs/130.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk130.png
131,Human,Female,Medium,2,"['Hot Lipstick', 'Straight Hair Dark']",../punk_imgs/131.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk131.png
132,Human,Male,Dark,1,['Mohawk Thin'],../punk_imgs/132.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk132.png
133,Human,Male,Albino,3,"['Chinstrap', 'Purple Hair', 'Pipe']",../punk_imgs/133.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk133.png
134,Human,Male,Medium,1,['Police Cap'],../punk_imgs/134.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk134.png
135,Human,Male,Light,1,['Cap Forward'],../punk_imgs/135.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk135.png
136,Human,Male,Dark,3,"['Shadow Beard', 'Shaved Head', 'Clown Eyes Green']",../punk_imgs/136.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk136.png
137,Human,Male,Dark,1,['Messy Hair'],../punk_imgs/137.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk137.png
138,Human,Male,Light,2,"['Stringy Hair', 'Horned Rim Glasses']",../punk_imgs/138.png,32.435,https://www.larvalabs.com/cryptopunks/cryptopunk138.png
139,Human,Male,Medium,2,"['Do-rag', 'Eye Patch']",../punk_imgs/139.png,51.2175,https://www.larvalabs.com/cryptopunks/cryptopunk139.png
140,Human,Female,Dark,1,['Hot Lipstick'],../punk_imgs/140.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk140.png
141,Human,Male,Dark,3,"['Chinstrap', 'Headband', '3D Glasses']",../punk_imgs/141.png,39.5,https://www.larvalabs.com/cryptopunks/cryptopunk141.png
142,Human,Male,Light,2,"['Mohawk', 'Regular Shades']",../punk_imgs/142.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk142.png
143,Human,Male,Light,2,"['Beanie', 'Horned Rim Glasses']",../punk_imgs/143.png,165.0,https://www.larvalabs.com/cryptopunks/cryptopunk143.png
144,Human,Male,Dark,3,"['Cigarette', 'Frumpy Hair', 'Luxurious Beard']",../punk_imgs/144.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk144.png
145,Human,Male,Light,1,['Wild Hair'],../punk_imgs/145.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk145.png
146,Human,Male,Light,2,"['Earring', 'Mohawk']",../punk_imgs/146.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk146.png
147,Human,Male,Albino,2,"['Mohawk Thin', 'Regular Shades']",../punk_imgs/147.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk147.png
148,Human,Male,Medium,1,['Hoodie'],../punk_imgs/148.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk148.png
149,Human,Male,Light,3,"['Messy Hair', 'Luxurious Beard', 'Big Shades']",../punk_imgs/149.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk149.png
150,Human,Female,Medium,2,"['Purple Lipstick', 'Earring']",../punk_imgs/150.png,133.495,https://www.larvalabs.com/cryptopunks/cryptopunk150.png
151,Human,Male,Medium,2,"['Stringy Hair', 'VR']",../punk_imgs/151.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk151.png
152,Human,Male,Light,2,"['Clown Eyes Green', 'Mohawk Dark']",../punk_imgs/152.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk152.png
153,Human,Male,Medium,3,"['Eye Mask', 'Cap', 'Earring']",../punk_imgs/153.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk153.png
154,Human,Male,Dark,3,"['Hoodie', 'Shadow Beard', 'Earring']",../punk_imgs/154.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk154.png
155,Human,Male,Dark,2,"['Clown Nose', 'Clown Hair Green']",../punk_imgs/155.png,12.0,https://www.larvalabs.com/cryptopunks/cryptopunk155.png
156,Human,Male,Dark,2,"['Cap Forward', 'Small Shades']",../punk_imgs/156.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk156.png
157,Human,Male,Medium,2,"['Cigarette', 'Cap']",../punk_imgs/157.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk157.png
158,Human,Male,Light,3,"['Wild Hair', 'Goat', 'Regular Shades']",../punk_imgs/158.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk158.png
159,Human,Male,Light,2,"['Stringy Hair', 'Earring']",../punk_imgs/159.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk159.png
160,Human,Female,Medium,3,"['Pigtails', 'Purple Lipstick', 'Clown Eyes Blue']",../punk_imgs/160.png,41.0,https://www.larvalabs.com/cryptopunks/cryptopunk160.png
161,Human,Female,Dark,2,"['Hot Lipstick', 'Frumpy Hair']",../punk_imgs/161.png,62.89333333333334,https://www.larvalabs.com/cryptopunks/cryptopunk161.png
162,Human,Male,Medium,3,"['Frumpy Hair', 'Normal Beard Black', 'Horned Rim Glasses']",../punk_imgs/162.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk162.png
163,Human,Male,Dark,2,"['Shaved Head', 'Eye Patch']",../punk_imgs/163.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk163.png
164,Human,Female,Medium,2,"['Stringy Hair', 'VR']",../punk_imgs/164.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk164.png
165,Human,Male,Medium,3,"['Cigarette', 'Front Beard Dark', 'Mohawk Dark']",../punk_imgs/165.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk165.png
166,Human,Male,Dark,2,"['Shaved Head', 'Regular Shades']",../punk_imgs/166.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk166.png
167,Human,Female,Medium,2,"['Headband', 'Hot Lipstick']",../punk_imgs/167.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk167.png
168,Human,Female,Light,3,"['Blue Eye Shadow', 'Silver Chain', 'Blonde Bob']",../punk_imgs/168.png,25.0,https://www.larvalabs.com/cryptopunks/cryptopunk168.png
169,Human,Female,Medium,3,"['Wild White Hair', 'Hot Lipstick', 'Regular Shades']",../punk_imgs/169.png,35.99666666666667,https://www.larvalabs.com/cryptopunks/cryptopunk169.png
170,Human,Male,Light,3,"['Peak Spike', 'Classic Shades', 'Mole']",../punk_imgs/170.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk170.png
171,Human,Male,Medium,3,"['Stringy Hair', 'Earring', 'Mole']",../punk_imgs/171.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk171.png
172,Human,Female,Medium,3,"['Purple Lipstick', 'Blonde Bob', '3D Glasses']",../punk_imgs/172.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk172.png
