punk_id,type,gender,skin_tone,count,accessories,img_dir
287, Human, Female, Albino,3, Mohawk / Purple Eye Shadow / Cigarette,./imgs/287.png
288, Human, Male, Albino,1, Shaved Head,./imgs/288.png
289, Human, Female, Medium,2, Mohawk Thin / Eye Patch,./imgs/289.png
290, Human, Female, Medium,1, Wild Blonde,./imgs/290.png
291, Human, Male, Medium,2, Mohawk Thin / Earring,./imgs/291.png
292, Human, Female, Light,2, Tassle Hat / Black Lipstick,./imgs/292.png
293, Human, Male, Light,2, Handlebars / Mohawk Dark,./imgs/293.png
294, Human, Male, Dark,3, Hoodie / Big Shades / Earring,./imgs/294.png
295, Human, Male, Medium,2, Frown / Shaved Head,./imgs/295.png
296, Human, Male, Medium,1, Mohawk Thin,./imgs/296.png
297, Human, Male, Medium,2, Muttonchops / Crazy Hair,./imgs/297.png
298, Human, Female, Light,1, Half Shaved,./imgs/298.png
299, Human, Male, Dark,2, Muttonchops / Do-rag,./imgs/299.png
300, Human, Male, Light,2, Goat / Headband,./imgs/300.png
301, Human, Female, Albino,3, Red Mohawk / Green Eye Shadow / Hot Lipstick,./imgs/301.png
302, Human, Female, Medium,3, Blue Eye Shadow / Bandana / Purple Lipstick,./imgs/302.png
303, Human, Female, Dark,2, Red Mohawk / Purple Lipstick,./imgs/303.png
304, Human, Male, Medium,2, Peak Spike / Shadow Beard,./imgs/304.png
305, Human, Female, Albino,3, VR / Purple Lipstick / Blonde Bob,./imgs/305.png
306, Human, Female, Light,2, Vape / Wild Hair,./imgs/306.png
307, Human, Male, Medium,2, Frumpy Hair / Chinstrap,./imgs/307.png
308, Human, Male, Light,3, Messy Hair / Horned Rim Glasses / Mole,./imgs/308.png
309, Human, Male, Medium,2, Big Shades / Shaved Head,./imgs/309.png
310, Human, Male, Dark,4, Bandana / Vape / Classic Shades / Earring,./imgs/310.png
311, Human, Male, Light,2, Front Beard / Frumpy Hair,./imgs/311.png
312, Human, Male, Light,2, Cap Forward / Chinstrap,./imgs/312.png
313, Human, Female, Light,2, Purple Lipstick / Mohawk Dark,./imgs/313.png
314, Human, Male, Albino,2, Eye Mask / Police Cap,./imgs/314.png
315, Human, Female, Medium,3, Wild White Hair / Black Lipstick / Cigarette,./imgs/315.png
