punk_id,type,gender,skin_tone,attr_count,img_url,avg_price,category,bubble_color
5117,Human,Female,Dark,3,https://www.larvalabs.com/cryptopunks/cryptopunk5117.png,12.62,Human Female,#A4031F
5120,Human,Female,Light,2,https://www.larvalabs.com/cryptopunks/cryptopunk5120.png,25.49666666666667,Human Female,#F2A359
5122,Human,Male,Dark,2,https://www.larvalabs.com/cryptopunks/cryptopunk5122.png,4.88,Human Male,#A4031F
5123,Human,Male,Dark,2,https://www.larvalabs.com/cryptopunks/cryptopunk5123.png,69.69857142857143,Human Male,#A4031F
5126,Human,Male,Dark,3,https://www.larvalabs.com/cryptopunks/cryptopunk5126.png,46.38444444444445,Human Male,#A4031F
5128,Human,Male,Medium,3,https://www.larvalabs.com/cryptopunks/cryptopunk5128.png,33.0,Human Male,#DB9065
5129,Human,Female,Medium,3,https://www.larvalabs.com/cryptopunks/cryptopunk5129.png,65.0,Human Female,#DB9065
5131,Human,Male,Dark,3,https://www.larvalabs.com/cryptopunks/cryptopunk5131.png,20.7625,Human Male,#A4031F
5132,Human,Female,Light,3,https://www.larvalabs.com/cryptopunks/cryptopunk5132.png,65.0,Human Female,#F2A359
5133,Human,Male,Medium,4,https://www.larvalabs.com/cryptopunks/cryptopunk5133.png,36.86666666666667,Human Male,#DB9065
5135,Human,Female,Medium,4,https://www.larvalabs.com/cryptopunks/cryptopunk5135.png,0.55,Human Female,#DB9065
5137,Human,Female,Dark,3,https://www.larvalabs.com/cryptopunks/cryptopunk5137.png,20.79,Human Female,#A4031F
5138,Human,Male,Medium,3,https://www.larvalabs.com/cryptopunks/cryptopunk5138.png,0.5,Human Male,#DB9065
5140,Human,Male,Light,4,https://www.larvalabs.com/cryptopunks/cryptopunk5140.png,22.4575,Human Male,#F2A359
5141,Human,Male,Light,2,https://www.larvalabs.com/cryptopunks/cryptopunk5141.png,0.18,Human Male,#F2A359
5142,Human,Male,Dark,2,https://www.larvalabs.com/cryptopunks/cryptopunk5142.png,86.16333333333334,Human Male,#A4031F
5144,Human,Male,Dark,3,https://www.larvalabs.com/cryptopunks/cryptopunk5144.png,48.745,Human Male,#A4031F
5146,Human,Male,Medium,3,https://www.larvalabs.com/cryptopunks/cryptopunk5146.png,35.49666666666666,Human Male,#DB9065
5147,Human,Male,Medium,3,https://www.larvalabs.com/cryptopunks/cryptopunk5147.png,0.33,Human Male,#DB9065
5148,Human,Male,Medium,3,https://www.larvalabs.com/cryptopunks/cryptopunk5148.png,37.495,Human Male,#DB9065
5149,Human,Male,Medium,5,https://www.larvalabs.com/cryptopunks/cryptopunk5149.png,0.7125,Human Male,#DB9065
5150,Human,Male,Light,3,https://www.larvalabs.com/cryptopunks/cryptopunk5150.png,61.234,Human Male,#F2A359
5151,Human,Male,Medium,2,https://www.larvalabs.com/cryptopunks/cryptopunk5151.png,78.77799999999999,Human Male,#DB9065
5152,Human,Male,Dark,2,https://www.larvalabs.com/cryptopunks/cryptopunk5152.png,30.475,Human Male,#A4031F
5153,Human,Female,Dark,3,https://www.larvalabs.com/cryptopunks/cryptopunk5153.png,1.1033333333333333,Human Female,#A4031F
5155,Human,Male,Medium,3,https://www.larvalabs.com/cryptopunks/cryptopunk5155.png,42.86,Human Male,#DB9065
5156,Human,Male,Light,3,https://www.larvalabs.com/cryptopunks/cryptopunk5156.png,11.97,Human Male,#F2A359
5157,Human,Male,Light,3,https://www.larvalabs.com/cryptopunks/cryptopunk5157.png,47.1,Human Male,#F2A359
5158,Human,Female,Albino,2,https://www.larvalabs.com/cryptopunks/cryptopunk5158.png,65.25,Human Female,#F2DC5D
5159,Human,Female,Light,4,https://www.larvalabs.com/cryptopunks/cryptopunk5159.png,8.070796326794897,Human Female,#F2A359
5163,Human,Male,Light,2,https://www.larvalabs.com/cryptopunks/cryptopunk5163.png,1.45,Human Male,#F2A359
5167,Human,Female,Light,3,https://www.larvalabs.com/cryptopunks/cryptopunk5167.png,0.15,Human Female,#F2A359
5169,Human,Male,Dark,2,https://www.larvalabs.com/cryptopunks/cryptopunk5169.png,93.23,Human Male,#A4031F
5175,Human,Male,Medium,4,https://www.larvalabs.com/cryptopunks/cryptopunk5175.png,58.7625,Human Male,#DB9065
5176,Human,Male,Dark,4,https://www.larvalabs.com/cryptopunks/cryptopunk5176.png,27.235,Human Male,#A4031F
5177,Human,Female,Medium,3,https://www.larvalabs.com/cryptopunks/cryptopunk5177.png,30.995,Human Female,#DB9065
5179,Human,Male,Medium,2,https://www.larvalabs.com/cryptopunks/cryptopunk5179.png,1.03,Human Male,#DB9065
5180,Human,Female,Dark,2,https://www.larvalabs.com/cryptopunks/cryptopunk5180.png,0.2,Human Female,#A4031F
5181,Human,Female,Dark,3,https://www.larvalabs.com/cryptopunks/cryptopunk5181.png,0.5,Human Female,#A4031F
5182,Human,Male,Albino,4,https://www.larvalabs.com/cryptopunks/cryptopunk5182.png,45.19833333333333,Human Male,#F2DC5D
5183,Human,Female,Dark,3,https://www.larvalabs.com/cryptopunks/cryptopunk5183.png,76.39,Human Female,#A4031F
5184,Human,Male,Light,1,https://www.larvalabs.com/cryptopunks/cryptopunk5184.png,110.0,Human Male,#F2A359
5186,Human,Female,Medium,3,https://www.larvalabs.com/cryptopunks/cryptopunk5186.png,8.0,Human Female,#DB9065
5188,Human,Male,Medium,3,https://www.larvalabs.com/cryptopunks/cryptopunk5188.png,2.06,Human Male,#DB9065
5189,Human,Male,Medium,3,https://www.larvalabs.com/cryptopunks/cryptopunk5189.png,14.934285714285712,Human Male,#DB9065
5191,Human,Female,Light,2,https://www.larvalabs.com/cryptopunks/cryptopunk5191.png,5.0,Human Female,#F2A359
5192,Human,Male,Albino,3,https://www.larvalabs.com/cryptopunks/cryptopunk5192.png,29.99,Human Male,#F2DC5D
5193,Human,Female,Medium,3,https://www.larvalabs.com/cryptopunks/cryptopunk5193.png,16.5,Human Female,#DB9065
5194,Human,Male,Light,3,https://www.larvalabs.com/cryptopunks/cryptopunk5194.png,17.382857142857144,Human Male,#F2A359
5195,Human,Female,Dark,3,https://www.larvalabs.com/cryptopunks/cryptopunk5195.png,0.9166666666666666,Human Female,#A4031F
5196,Human,Male,Dark,2,https://www.larvalabs.com/cryptopunks/cryptopunk5196.png,29.175,Human Male,#A4031F
5197,Human,Male,Light,2,https://www.larvalabs.com/cryptopunks/cryptopunk5197.png,48.4675,Human Male,#F2A359
5198,Human,Male,Dark,3,https://www.larvalabs.com/cryptopunks/cryptopunk5198.png,28.4825,Human Male,#A4031F
5201,Human,Male,Dark,3,https://www.larvalabs.com/cryptopunks/cryptopunk5201.png,63.206,Human Male,#A4031F
5202,Human,Female,Dark,4,https://www.larvalabs.com/cryptopunks/cryptopunk5202.png,62.41666666666666,Human Female,#A4031F
5207,Human,Male,Dark,2,https://www.larvalabs.com/cryptopunks/cryptopunk5207.png,64.678,Human Male,#A4031F
5208,Human,Female,Light,5,https://www.larvalabs.com/cryptopunks/cryptopunk5208.png,115.95,Human Female,#F2A359
5209,Human,Male,Medium,2,https://www.larvalabs.com/cryptopunks/cryptopunk5209.png,18.70444444444444,Human Male,#DB9065
5210,Human,Female,Dark,2,https://www.larvalabs.com/cryptopunks/cryptopunk5210.png,61.212,Human Female,#A4031F
5212,Human,Female,Medium,3,https://www.larvalabs.com/cryptopunks/cryptopunk5212.png,51.23166666666666,Human Female,#DB9065
