punk_id,type,gender,skin_tone,attr_count,attributes,skin_tone_color,avg_price,img_url
623,Human,Male,Medium,4,"['Fedora', 'Horned Rim Glasses', 'Normal Beard', 'Smile']",#DB9065,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk623.png
624,Human,Male,Dark,3,"['Big Shades', 'Earring', 'Crazy Hair']",#A4031F,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk624.png
625,Human,Male,Medium,4,"['Stringy Hair', 'Cigarette', 'Normal Beard Black', 'Eye Patch']",#DB9065,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk625.png
626,Human,Male,Medium,2,"['Earring', 'Cowboy Hat']",#DB9065,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk626.png
627,Human,Male,Albino,1,['Hoodie'],#F2DC5D,66.25,https://www.larvalabs.com/cryptopunks/cryptopunk627.png
628,Human,Female,Albino,4,"['Purple Eye Shadow', 'Stringy Hair', 'Purple Lipstick', 'Earring']",#F2DC5D,70.2175,https://www.larvalabs.com/cryptopunks/cryptopunk628.png
629,Human,Male,Medium,1,['Regular Shades'],#DB9065,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk629.png
630,Human,Male,Medium,2,"['Handlebars', 'Mohawk Thin']",#DB9065,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk630.png
631,Human,Female,Medium,3,"['Big Shades', 'Headband', 'Cigarette']",#DB9065,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk631.png
632,Human,Male,Medium,2,"['Clown Eyes Blue', 'Peak Spike']",#DB9065,50.833333333333336,https://www.larvalabs.com/cryptopunks/cryptopunk632.png
633,Human,Male,Medium,4,"['Cap', 'Spots', 'Earring', 'Regular Shades']",#DB9065,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk633.png
634,Human,Male,Light,2,"['Frumpy Hair', 'Big Shades']",#F2A359,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk634.png
635,Alien,Male,Non-human,2,"['Bandana', 'Regular Shades']",#8DFFCD,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk635.png
636,Human,Male,Medium,3,"['Chinstrap', 'Classic Shades', 'Mohawk']",#DB9065,81.2475,https://www.larvalabs.com/cryptopunks/cryptopunk636.png
637,Human,Female,Medium,2,"['Black Lipstick', 'Straight Hair Dark']",#DB9065,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk637.png
638,Human,Male,Medium,4,"['Chinstrap', 'Top Hat', 'Smile', 'VR']",#DB9065,109.33333333333333,https://www.larvalabs.com/cryptopunks/cryptopunk638.png
639,Human,Male,Dark,3,"['Peak Spike', 'Shadow Beard', 'Mole']",#A4031F,46.1225,https://www.larvalabs.com/cryptopunks/cryptopunk639.png
640,Human,Male,Light,2,"['Knitted Cap', 'Pipe']",#F2A359,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk640.png
641,Human,Female,Light,0,[''],#F2A359,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk641.png
