,date,from,to,eth_price,punk_id,type,gender,skin_tone,attr_count,attributes,skin_tone_color,img_url
2491,2021-08-05,2597,5700,42.8,1369,Human,Female,Medium,2,"['Knitted Cap', 'Clown Eyes Blue']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk1369.png
2492,2021-08-06,5795,4463,53.97,1369,Human,Female,Medium,2,"['Knitted Cap', 'Clown Eyes Blue']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk1369.png
2493,2021-08-06,5700,5795,49.99,1369,Human,Female,Medium,2,"['Knitted Cap', 'Clown Eyes Blue']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk1369.png
2494,2021-08-28,4463,123,100.69,1369,Human,Female,Medium,2,"['Knitted Cap', 'Clown Eyes Blue']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk1369.png
2495,2018-01-19,1303,4866,0.1,4961,Human,Female,Dark,3,"['Cap', 'Green Eye Shadow', 'Earring']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk4961.png
2496,2021-11-13,6433,1306,89.0,4961,Human,Female,Dark,3,"['Cap', 'Green Eye Shadow', 'Earring']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk4961.png
2497,2021-11-27,1523,700,95.0,4961,Human,Female,Dark,3,"['Cap', 'Green Eye Shadow', 'Earring']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk4961.png
2498,2018-01-20,5223,15,0.1,9604,Human,Male,Dark,3,"['Front Beard Dark', 'Fedora', 'Mole']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk9604.png
2499,2018-01-20,1303,15,0.14,3041,Human,Male,Medium,2,"['Purple Hair', 'Mustache']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk3041.png
2500,2021-12-26,566,3099,72.0,3041,Human,Male,Medium,2,"['Purple Hair', 'Mustache']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk3041.png
2501,2021-12-29,3099,98,75.0,3041,Human,Male,Medium,2,"['Purple Hair', 'Mustache']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk3041.png
2502,2018-01-20,1303,89,0.16,7791,Human,Female,Dark,3,"['Mole', 'Hot Lipstick', 'Half Shaved']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk7791.png
2503,2021-02-10,89,4556,8.5,7791,Human,Female,Dark,3,"['Mole', 'Hot Lipstick', 'Half Shaved']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk7791.png
2504,2018-01-20,1303,3201,0.18,6218,Human,Male,Light,4,"['Earring', 'Nerd Glasses', 'Mole', 'Cowboy Hat']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk6218.png
